"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2019","Rural settlement region","Viljandi county",102,2,3,4,5,12,7,21,19,7,9,6,7
"2019","Rural settlement region","Võru county",84,1,2,5,2,11,7,17,14,5,10,6,4
"2019","Rural settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Total","Total",6093,319,590,306,228,297,508,973,1081,563,539,304,385
"2020","Total","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","Total","Place of residence outside of Estonia",356,29,22,15,7,16,23,38,46,52,44,27,37
"2020","Total","Place of residence in Estonia",5737,290,568,291,221,281,485,935,1035,511,495,277,348
"2020","Total","Harju county",2978,191,277,169,106,124,238,496,524,300,242,138,173
"2020","Total","..Tallinn",2210,155,208,128,85,90,180,365,379,210,184,96,130
"2020","Total","Hiiu county",46,1,5,4,3,1,4,6,13,1,3,2,3
"2020","Total","Ida-Viru county",565,33,63,25,31,18,40,80,85,55,58,36,41
"2020","Total","Jõgeva county",100,3,9,10,3,5,10,12,15,8,11,7,7
"2020","Total","Järva county",105,3,10,8,1,0,10,21,25,7,9,7,4
"2020","Total","Lääne county",76,2,9,1,3,8,11,14,11,4,8,1,4
"2020","Total","Lääne-Viru county",217,7,23,7,6,9,20,41,46,16,16,11,15
"2020","Total","Põlva county",81,3,4,4,4,9,11,13,9,6,6,3,9
"2020","Total","Pärnu county",309,7,33,8,12,16,27,51,68,30,22,16,19
"2020","Total","Rapla county",143,6,20,8,9,6,15,26,27,7,6,7,6
"2020","Total","Saare county",134,6,12,4,3,14,6,17,38,8,11,4,11
"2020","Total","Tartu county",609,11,69,26,29,51,65,100,104,40,59,26,29
"2020","Total","Valga county",94,8,12,2,5,4,6,12,17,8,10,0,10
"2020","Total","Viljandi county",158,5,10,8,4,9,14,28,31,9,17,12,11
"2020","Total","Võru county",99,2,11,4,2,6,4,16,19,9,15,5,6
"2020","Total","Place of residence in Estonia unknown",23,2,1,3,0,1,4,2,3,3,2,2,0
"2020","City and town settlement region","Total",4132,245,415,213,152,182,345,669,725,390,364,194,238
"2020","City and town settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","City and town settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","City and town settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","City and town settlement region","Harju county",2659,181,254,152,99,106,213,442,461,263,216,120,152
"2020","City and town settlement region","..Tallinn",2210,155,208,128,85,90,180,365,379,210,184,96,130
"2020","City and town settlement region","Hiiu county",0,0,0,0,0,0,0,0,0,0,0,0,0
"2020","City and town settlement region","Ida-Viru county",462,30,46,21,25,14,31,66,75,47,46,31,30
"2020","City and town settlement region","Jõgeva county",12,1,0,2,1,1,1,0,1,0,5,0,0
"2020","City and town settlement region","Järva county",52,2,5,3,0,0,5,7,17,2,5,4,2
"2020","City and town settlement region","Lääne county",38,1,2,1,1,2,7,8,5,2,5,1,3
"2020","City and town settlement region","Lääne-Viru county",67,2,8,1,1,1,9,11,13,5,5,4,7
"2020","City and town settlement region","Põlva county",11,1,1,0,1,1,2,2,2,1,0,0,0
"2020","City and town settlement region","Pärnu county",191,7,20,5,8,10,18,35,43,19,14,4,8
"2020","City and town settlement region","Rapla county",22,0,2,0,0,4,2,4,3,1,1,2,3
"2020","City and town settlement region","Saare county",49,3,6,2,0,7,3,7,12,1,2,2,4
"2020","City and town settlement region","Tartu county",419,9,51,22,13,29,44,67,69,34,44,19,18
"2020","City and town settlement region","Valga county",47,6,9,1,1,2,3,2,6,6,5,0,6
"2020","City and town settlement region","Viljandi county",74,2,8,3,2,4,5,14,11,4,10,7,4
"2020","City and town settlement region","Võru county",29,0,3,0,0,1,2,4,7,5,6,0,1
"2020","City and town settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Rural settlement region","Total",1582,43,152,75,69,98,136,264,307,118,129,81,110
"2020","Rural settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Rural settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Rural settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Rural settlement region","Harju county",319,10,23,17,7,18,25,54,63,37,26,18,21
"2020","Rural settlement region","..Tallinn",.,.,.,.,.,.,.,.,.,.,.,.,.
"2020","Rural settlement region","Hiiu county",46,1,5,4,3,1,4,6,13,1,3,2,3
"2020","Rural settlement region","Ida-Viru county",103,3,17,4,6,4,9,14,10,8,12,5,11
"2020","Rural settlement region","Jõgeva county",88,2,9,8,2,4,9,12,14,8,6,7,7
"2020","Rural settlement region","Järva county",53,1,5,5,1,0,5,14,8,5,4,3,2
"2020","Rural settlement region","Lääne county",38,1,7,0,2,6,4,6,6,2,3,0,1
"2020","Rural settlement region","Lääne-Viru county",150,5,15,6,5,8,11,30,33,11,11,7,8
"2020","Rural settlement region","Põlva county",70,2,3,4,3,8,9,11,7,5,6,3,9
"2020","Rural settlement region","Pärnu county",118,0,13,3,4,6,9,16,25,11,8,12,11
"2020","Rural settlement region","Rapla county",121,6,18,8,9,2,13,22,24,6,5,5,3
"2020","Rural settlement region","Saare county",85,3,6,2,3,7,3,10,26,7,9,2,7
"2020","Rural settlement region","Tartu county",190,2,18,4,16,22,21,33,35,6,15,7,11
"2020","Rural settlement region","Valga county",47,2,3,1,4,2,3,10,11,2,5,0,4
"2020","Rural settlement region","Viljandi county",84,3,2,5,2,5,9,14,20,5,7,5,7
"2020","Rural settlement region","Võru county",70,2,8,4,2,5,2,12,12,4,9,5,5
"2020","Rural settlement region","Place of residence in Estonia unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2021","Total","Total",6396,301,304,350,345,432,653,1145,979,562,484,409,432
"2021","Total","Place of residence unknown",0,0,0,0,0,0,0,0,0,0,0,0,0
"2021","Total","Place of residence outside of Estonia",206,15,7,15,7,8,13,30,30,17,22,15,27
"2021","Total","Place of residence in Estonia",5994,277,287,321,317,417,621,1090,921,528,441,380,394
"2021","Total","Harju county",3152,176,145,171,160,215,321,547,503,310,216,194,194
"2021","Total","..Tallinn",2366,133,109,138,132,156,233,396,369,240,163,147,150
"2021","Total","Hiiu county",29,0,2,0,4,2,2,8,5,2,0,1,3
"2021","Total","Ida-Viru county",647,32,37,45,48,35,67,83,78,71,57,46,48
"2021","Total","Jõgeva county",96,3,6,1,3,6,13,17,16,9,7,9,6
"2021","Total","Järva county",118,6,4,3,9,13,13,22,16,7,11,6,8
"2021","Total","Lääne county",64,1,4,2,4,4,6,12,9,5,4,7,6
