Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2019,Maaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2019,Maaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2019,Maaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2019,Maaline asustuspiirkond,Harju maakond,145,57,36,37,8,3,0,4
2019,Maaline asustuspiirkond,Tallinn,.,.,.,.,.,.,.,.
2019,Maaline asustuspiirkond,Hiiu maakond,20,6,6,4,0,0,0,4
2019,Maaline asustuspiirkond,Ida-Viru maakond,44,19,9,9,4,0,0,3
2019,Maaline asustuspiirkond,Jõgeva maakond,38,13,6,11,2,0,0,6
2019,Maaline asustuspiirkond,Järva maakond,35,16,8,7,2,1,0,1
2019,Maaline asustuspiirkond,Lääne maakond,26,9,6,4,2,0,0,5
2019,Maaline asustuspiirkond,Lääne-Viru maakond,64,36,13,10,2,0,0,3
2019,Maaline asustuspiirkond,Põlva maakond,38,14,9,10,2,1,0,2
2019,Maaline asustuspiirkond,Pärnu maakond,60,31,13,9,3,0,0,4
2019,Maaline asustuspiirkond,Rapla maakond,53,29,10,10,1,1,0,2
2019,Maaline asustuspiirkond,Saare maakond,35,15,8,7,1,0,0,4
2019,Maaline asustuspiirkond,Tartu maakond,83,30,21,21,5,2,0,4
2019,Maaline asustuspiirkond,Valga maakond,17,8,3,3,1,1,0,1
2019,Maaline asustuspiirkond,Viljandi maakond,51,22,12,9,3,0,0,5
2019,Maaline asustuspiirkond,Võru maakond,35,17,7,8,2,0,0,1
2019,Maaline asustuspiirkond,Elukoht Eestis teadmata,.,.,.,.,.,.,.,.
2020,Kokku,Kokku,2555,709,783,749,235,37,22,20
2020,Kokku,Elukoht teadmata,0,0,0,0,0,0,0,0
2020,Kokku,Elukoht väljaspool Eestit,77,31,20,12,2,0,1,11
2020,Kokku,Elukoht Eestis,2478,678,763,737,233,37,21,9
2020,Kokku,Harju maakond,1234,363,396,367,84,14,3,7
2020,Kokku,Tallinn,868,281,289,235,48,8,2,5
2020,Kokku,Hiiu maakond,17,4,5,3,4,1,0,0
2020,Kokku,Ida-Viru maakond,345,112,133,79,17,1,2,1
2020,Kokku,Jõgeva maakond,50,13,12,15,5,3,2,0
2020,Kokku,Järva maakond,45,8,13,14,7,2,1,0
2020,Kokku,Lääne maakond,38,3,9,15,10,0,1,0
2020,Kokku,Lääne-Viru maakond,90,25,17,32,14,1,1,0
2020,Kokku,Põlva maakond,39,7,16,14,2,0,0,0
2020,Kokku,Pärnu maakond,125,36,32,35,17,1,4,0
2020,Kokku,Rapla maakond,63,6,20,22,12,2,1,0
2020,Kokku,Saare maakond,56,10,14,23,7,1,1,0
2020,Kokku,Tartu maakond,217,55,56,67,32,5,1,1
2020,Kokku,Valga maakond,46,12,14,11,6,1,2,0
2020,Kokku,Viljandi maakond,68,13,16,25,10,3,1,0
2020,Kokku,Võru maakond,44,11,10,14,6,2,1,0
2020,Kokku,Elukoht Eestis teadmata,1,0,0,1,0,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Kokku,1724,512,561,500,121,15,7,8
2020,Linnaline ja väikelinnaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2020,Linnaline ja väikelinnaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2020,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2020,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1069,323,353,310,65,10,2,6
2020,Linnaline ja väikelinnaline asustuspiirkond,Tallinn,868,281,289,235,48,8,2,5
2020,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0
