"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2018","Maaline asustuspiirkond","Järva maakond",33,3,1,1,4,2,4,4,3,4,3,2,2
"2018","Maaline asustuspiirkond","Lääne maakond",17,0,1,2,2,2,0,1,2,2,1,3,1
"2018","Maaline asustuspiirkond","Lääne-Viru maakond",77,7,4,8,5,4,5,7,10,7,6,5,9
"2018","Maaline asustuspiirkond","Põlva maakond",30,2,3,0,2,1,4,2,2,2,2,3,7
"2018","Maaline asustuspiirkond","Pärnu maakond",66,2,3,6,5,10,10,8,3,4,10,3,2
"2018","Maaline asustuspiirkond","Rapla maakond",51,5,3,4,4,4,4,4,1,5,3,9,5
"2018","Maaline asustuspiirkond","Saare maakond",24,2,2,5,2,2,2,0,0,0,3,4,2
"2018","Maaline asustuspiirkond","Tartu maakond",86,8,7,9,3,7,8,7,5,2,13,11,6
"2018","Maaline asustuspiirkond","Valga maakond",22,0,1,4,3,1,2,2,0,1,3,4,1
"2018","Maaline asustuspiirkond","Viljandi maakond",48,4,3,2,2,8,5,6,4,2,4,4,4
"2018","Maaline asustuspiirkond","Võru maakond",40,4,2,1,5,5,3,4,3,4,4,1,4
"2019","Kokku","Kokku",2790,225,217,250,206,240,206,235,240,247,268,222,234
"2019","Kokku","Elukoht väljaspool Eestit",142,20,13,15,12,17,8,8,6,13,10,8,12
"2019","Kokku","Elukoht Eestis",2648,205,204,235,194,223,198,227,234,234,258,214,222
"2019","Kokku","Harju maakond",1294,105,99,99,83,110,103,107,121,119,126,120,102
"2019","Kokku","..Tallinn",930,75,78,72,63,73,72,76,82,90,86,85,78
"2019","Kokku","Hiiu maakond",20,3,2,3,1,3,2,0,0,4,1,0,1
"2019","Kokku","Ida-Viru maakond",344,18,27,29,22,32,16,41,29,32,38,25,35
"2019","Kokku","Jõgeva maakond",45,4,6,2,4,4,1,4,5,5,2,5,3
"2019","Kokku","Järva maakond",65,4,8,5,4,5,7,8,3,10,7,1,3
"2019","Kokku","Lääne maakond",42,6,3,3,5,5,4,3,2,5,4,1,1
"2019","Kokku","Lääne-Viru maakond",98,8,9,13,9,5,4,5,13,10,11,6,5
"2019","Kokku","Põlva maakond",50,2,1,9,5,5,5,3,2,1,6,6,5
"2019","Kokku","Pärnu maakond",141,12,9,13,16,15,14,4,11,11,8,12,16
"2019","Kokku","Rapla maakond",55,4,3,4,3,3,1,9,6,5,6,4,7
"2019","Kokku","Saare maakond",57,8,1,5,3,6,6,3,6,3,6,3,7
"2019","Kokku","Tartu maakond",262,17,19,27,26,19,27,25,16,22,23,18,23
"2019","Kokku","Valga maakond",38,3,5,5,3,1,1,1,4,2,3,4,6
"2019","Kokku","Viljandi maakond",83,7,8,12,5,8,1,8,12,3,7,6,6
"2019","Kokku","Võru maakond",53,4,4,6,5,2,6,6,4,2,10,2,2
"2019","Kokku","Elukoht Eestis teadmata",1,0,0,0,0,0,0,0,0,0,0,1,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Kokku",1903,145,154,160,129,152,139,162,167,168,193,170,164
"2019","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",1149,94,91,87,76,90,87,94,104,110,112,112,92
"2019","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",930,75,78,72,63,73,72,76,82,90,86,85,78
"2019","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",300,17,23,27,17,25,14,37,24,25,36,23,32
"2019","Linnaline ja väikelinnaline asustuspiirkond","Jõgeva maakond",7,1,2,0,0,1,0,1,0,0,0,2,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Järva maakond",30,1,6,2,1,1,4,2,2,5,5,0,1
"2019","Linnaline ja väikelinnaline asustuspiirkond","Lääne maakond",16,0,3,2,1,1,2,1,1,2,2,1,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Lääne-Viru maakond",34,4,3,6,2,3,1,2,4,1,3,3,2
"2019","Linnaline ja väikelinnaline asustuspiirkond","Põlva maakond",12,0,0,2,1,1,1,0,0,0,4,3,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Pärnu maakond",81,9,6,8,5,10,5,1,8,7,5,6,11
"2019","Linnaline ja väikelinnaline asustuspiirkond","Rapla maakond",2,0,0,0,0,0,0,2,0,0,0,0,0
"2019","Linnaline ja väikelinnaline asustuspiirkond","Saare maakond",22,3,0,2,1,1,1,3,2,1,2,2,4
"2019","Linnaline ja väikelinnaline asustuspiirkond","Tartu maakond",179,12,13,19,20,12,19,15,12,15,11,15,16
"2019","Linnaline ja väikelinnaline asustuspiirkond","Valga maakond",21,1,4,2,1,1,1,0,3,1,2,1,4
"2019","Linnaline ja väikelinnaline asustuspiirkond","Viljandi maakond",32,3,2,3,2,4,0,3,5,1,5,2,2
"2019","Linnaline ja väikelinnaline asustuspiirkond","Võru maakond",18,0,1,0,2,2,4,1,2,0,6,0,0
"2019","Maaline asustuspiirkond","Kokku",744,60,50,75,65,71,59,65,67,66,65,43,58
"2019","Maaline asustuspiirkond","Harju maakond",145,11,8,12,7,20,16,13,17,9,14,8,10
"2019","Maaline asustuspiirkond","Hiiu maakond",20,3,2,3,1,3,2,0,0,4,1,0,1
"2019","Maaline asustuspiirkond","Ida-Viru maakond",44,1,4,2,5,7,2,4,5,7,2,2,3
"2019","Maaline asustuspiirkond","Jõgeva maakond",38,3,4,2,4,3,1,3,5,5,2,3,3
"2019","Maaline asustuspiirkond","Järva maakond",35,3,2,3,3,4,3,6,1,5,2,1,2
"2019","Maaline asustuspiirkond","Lääne maakond",26,6,0,1,4,4,2,2,1,3,2,0,1
"2019","Maaline asustuspiirkond","Lääne-Viru maakond",64,4,6,7,7,2,3,3,9,9,8,3,3
