"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Type of settlement region,Place of residence of groom,Months total,January,February,March,April,May,June,July,August,September,October,November,December
2021,City and town settlement region,Harju county,2856,158,132,158,154,194,282,499,443,284,201,173,178
2021,City and town settlement region,..Tallinn,2366,133,109,138,132,156,233,396,369,240,163,147,150
2021,City and town settlement region,Hiiu county,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,City and town settlement region,Ida-Viru county,543,28,28,37,43,30,55,76,61,60,48,41,36
2021,City and town settlement region,Jõgeva county,0,0,2,0,0,2,4,4,5,2,0,2,2
2021,City and town settlement region,Järva county,0,3,0,2,3,4,9,9,8,1,4,3,2
2021,City and town settlement region,Lääne county,0,1,1,0,1,1,2,5,3,5,2,4,3
2021,City and town settlement region,Lääne-Viru county,63,1,3,6,5,1,7,12,8,4,7,5,4
2021,City and town settlement region,Põlva county,0,1,0,0,0,0,4,3,2,2,1,1,2
2021,City and town settlement region,Pärnu county,158,6,7,3,6,20,11,34,28,9,12,9,13
2021,City and town settlement region,Rapla county,0,1,0,1,0,1,3,6,3,1,1,1,1
2021,City and town settlement region,Saare county,0,2,2,0,2,3,6,17,10,4,5,3,6
2021,City and town settlement region,Tartu county,475,20,24,22,20,35,56,111,71,34,29,26,27
2021,City and town settlement region,Valga county,0,0,1,6,1,0,2,10,6,6,6,4,3
2021,City and town settlement region,Viljandi county,59,6,4,3,4,3,4,10,7,3,7,5,3
2021,City and town settlement region,Võru county,35,1,1,2,3,5,3,4,8,2,1,2,3
2021,Rural settlement region,Harju county,296,18,13,13,6,21,39,48,60,26,15,21,16
2021,Rural settlement region,Hiiu county,0,0,2,0,4,2,2,8,5,2,0,1,3
2021,Rural settlement region,Ida-Viru county,104,4,9,8,5,5,12,7,17,11,9,5,12
2021,Rural settlement region,Jõgeva county,73,3,4,1,3,4,9,13,11,7,7,7,4
2021,Rural settlement region,Järva county,70,3,4,1,6,9,4,13,8,6,7,3,6
2021,Rural settlement region,Lääne county,0,0,3,2,3,3,4,7,6,0,2,3,3
2021,Rural settlement region,Lääne-Viru county,138,6,6,10,6,8,10,34,18,8,12,12,8
2021,Rural settlement region,Põlva county,0,0,3,6,1,3,8,15,10,2,4,4,2
2021,Rural settlement region,Pärnu county,128,2,5,5,6,8,15,27,21,9,6,6,18
2021,Rural settlement region,Rapla county,112,1,6,6,8,14,10,21,24,8,4,6,4
2021,Rural settlement region,Saare county,69,1,3,7,5,7,5,15,12,3,6,1,4
2021,Rural settlement region,Tartu county,218,5,9,12,14,17,33,41,32,14,21,8,12
2021,Rural settlement region,Valga county,65,2,2,2,2,4,8,13,4,4,11,9,4
2021,Rural settlement region,Viljandi county,98,4,6,2,3,8,10,15,15,7,9,8,11
2021,Rural settlement region,Võru county,0,0,7,6,3,5,4,13,15,4,4,7,4
